id_match,team_name
match336,CD Leganés
match336,Athletic Club
match337,Levante UD
match337,Real Betis
match338,Getafe CF
match338,Real Madrid
match339,Sevilla FC
match339,Rayo Vallecano
match340,Real Sociedad
match340,Villarreal CF
match341,Athletic Club
match341,D. Alavés
match342,Atlético de Madrid
match342,R. Valladolid CF
match343,FC Barcelona
match343,Levante UD
match344,CD Leganés
match344,RC Celta
match345,Girona FC
match345,Sevilla FC
match346,Real Sociedad
match346,Getafe CF
match347,Valencia CF
match347,SD Eibar
match348,Rayo Vallecano
match348,Real Madrid
match349,Villarreal CF
match349,SD Huesca
match350,Real Betis
match350,RCD Espanyol
match351,Sevilla FC
match351,CD Leganés
match352,D. Alavés
match352,Real Sociedad
match353,RC Celta
match353,FC Barcelona
match354,RCD Espanyol
match354,Atlético de Madrid
match355,Levante UD
match355,Rayo Vallecano
match356,SD Eibar
match356,Real Betis
match357,Getafe CF
match357,Girona FC
match358,SD Huesca
match358,Valencia CF
match359,Real Madrid
match359,Villarreal CF
match360,R. Valladolid CF
match360,Athletic Club
match361,Athletic Club
match361,RC Celta
match362,Atlético de Madrid
match362,Sevilla FC
match363,FC Barcelona
match363,Getafe CF
match364,Real Betis
match364,SD Huesca
match365,Girona FC
match365,Levante UD
match366,CD Leganés
match366,RCD Espanyol
match367,Real Sociedad
match367,Real Madrid
match368,Valencia CF
match368,D. Alavés
match369,Rayo Vallecano
match369,R. Valladolid CF
match370,Villarreal CF
match370,SD Eibar
match371,D. Alavés
match371,Girona FC
match372,RC Celta
match372,Rayo Vallecano
match373,RCD Espanyol
match373,Real Sociedad
match374,Getafe CF
match374,Villarreal CF
match375,SD Huesca
match375,CD Leganés
match376,Levante UD
match376,Atlético de Madrid
match377,Sevilla FC
match377,Athletic Club
match378,R. Valladolid CF
match378,Valencia CF
match379,SD Eibar
match379,FC Barcelona
match380,Real Madrid
match380,Real Betis
