id_goal,goal_minute,penalty?,own_goal?,id_match,player_name
goal682,29,FALSE,FALSE,match270,Anuar Mohamed Tuhami
goal683,34,FALSE,FALSE,match270,Raphaël Varane
goal684,51,TRUE,FALSE,match270,Karim Benzema
goal685,59,FALSE,FALSE,match270,Karim Benzema
goal686,85,FALSE,FALSE,match270,Luka Modric
goal687,26,FALSE,FALSE,match271,Adnan Januzaj
goal688,79,FALSE,FALSE,match271,Borja Mayoral
goal689,73,FALSE,FALSE,match272,Iñaki Williams
goal690,85,FALSE,FALSE,match272,Kenan Kodro
goal691,14,TRUE,FALSE,match273,Ezequiel Chimy Ávila
goal692,11,TRUE,FALSE,match273,Jonathan Calleri
goal693,86,FALSE,FALSE,match273,Jonathan Calleri
goal694,80,FALSE,FALSE,match273,John Guidetti
goal695,13,FALSE,FALSE,match274,Portu
goal696,22,FALSE,FALSE,match274,Portu
goal697,62,FALSE,FALSE,match275,Isco
goal698,77,FALSE,FALSE,match275,Gareth Bale
goal699,82,FALSE,FALSE,match276,Loren Morón García
goal700,18,FALSE,FALSE,match276,Lionel Messi
goal701,47,FALSE,FALSE,match276,Lionel Messi
goal702,85,FALSE,FALSE,match276,Lionel Messi
goal703,63,FALSE,FALSE,match276,Luis Suárez
goal704,54,FALSE,FALSE,match277,Fabián Orellana
goal705,91,TRUE,FALSE,match277,Daniele Verde
goal706,93,FALSE,FALSE,match277,Sergi Guardiola
goal707,53,TRUE,FALSE,match278,Wissam Ben Yedder
goal708,50,FALSE,FALSE,match280,Karl Toko Ekambi
goal709,52,FALSE,FALSE,match280,Karl Toko Ekambi
goal710,88,FALSE,FALSE,match280,Gerard Moreno
goal711,20,FALSE,FALSE,match280,Mario Suárez
goal712,37,FALSE,FALSE,match281,Cristhian Stuani
goal713,53,FALSE,FALSE,match281,Iñaki Williams
goal714,59,FALSE,FALSE,match281,Raúl García Escudero
goal715,5,FALSE,FALSE,match282,Saúl Ñíguez
goal716,11,FALSE,FALSE,match282,Diego Costa
goal717,59,FALSE,FALSE,match282,Álvaro Morata
goal718,84,FALSE,FALSE,match282,Yakubu Partey
goal719,71,FALSE,FALSE,match283,Lionel Messi
goal720,89,FALSE,FALSE,match283,Lionel Messi
goal721,50,FALSE,FALSE,match284,Iago Aspas
goal722,86,TRUE,FALSE,match284,Iago Aspas
goal723,71,FALSE,FALSE,match284,Maxi Gómez
goal724,11,FALSE,FALSE,match284,Karl Toko Ekambi
goal725,15,FALSE,FALSE,match284,Alfonso Pedraza
goal726,49,FALSE,FALSE,match285,Michael Santos
goal727,83,FALSE,FALSE,match285,Juan Francisco
goal728,5,FALSE,FALSE,match286,José Luis Morales Nogales
goal729,26,FALSE,FALSE,match286,Rubén Rochina
goal730,19,FALSE,FALSE,match286,Gonzalo Escalante
goal731,78,FALSE,FALSE,match286,Sergi Enrich
goal732,25,FALSE,FALSE,match287,Isco
goal733,62,FALSE,FALSE,match287,Dani Ceballos
goal734,89,FALSE,FALSE,match287,Karim Benzema
goal735,3,FALSE,FALSE,match287,Christian Rivera Hernández
goal736,74,FALSE,FALSE,match287,Xabier Etxeita
goal737,46,TRUE,FALSE,match288,Daniel Parejo
goal738,9,FALSE,FALSE,match289,Keko Gontán
goal739,79,FALSE,FALSE,match289,Mikel Oyarzabal
goal740,34,FALSE,FALSE,match290,Raúl de Tomás
goal741,81,FALSE,FALSE,match290,Cristian Tello
goal742,76,FALSE,FALSE,match291,Diego Godín
goal743,94,FALSE,FALSE,match291,Antoine Griezmann
goal744,56,FALSE,FALSE,match292,Borja Iglesias
goal745,72,FALSE,FALSE,match292,Ángel Rodríguez
goal746,23,FALSE,FALSE,match293,Samuel Chukwueze
goal747,50,FALSE,FALSE,match293,Karl Toko Ekambi
goal748,62,FALSE,FALSE,match293,Vicente Iborra de la Fuente
goal749,80,FALSE,FALSE,match293,Carlos Bacca
goal750,12,FALSE,FALSE,match293,Philippe Coutinho
goal751,16,FALSE,FALSE,match293,Malcom
goal752,90,FALSE,FALSE,match293,Lionel Messi
goal753,93,FALSE,FALSE,match293,Luis Suárez
goal754,5,FALSE,FALSE,match294,Yuri Berchiche
goal755,27,FALSE,FALSE,match294,Iñaki Williams
goal756,93,TRUE,FALSE,match294,Iker Muniain
goal757,51,TRUE,FALSE,match294,Roger Martí
goal758,89,FALSE,FALSE,match294,Erick Cabaco
goal759,64,FALSE,FALSE,match295,Charles Días Barbosa
goal760,73,FALSE,FALSE,match295,Pedro León
goal761,40,FALSE,FALSE,match295,José Ángel Pozo
goal762,63,FALSE,FALSE,match296,Enric Gallego
goal763,71,FALSE,FALSE,match296,Ezequiel Chimy Ávila
goal764,73,FALSE,FALSE,match296,Jorge Pulido
goal765,14,FALSE,FALSE,match296,Brais Méndez
goal766,57,FALSE,FALSE,match296,Iago Aspas
goal767,81,FALSE,FALSE,match296,Ryad Boudebouz
goal768,35,FALSE,FALSE,match297,Gonçalo Guedes
goal769,83,FALSE,FALSE,match297,Ezequiel Garay
goal770,93,FALSE,FALSE,match297,Karim Benzema
goal771,96,FALSE,FALSE,match298,Guido Carrillo
goal772,41,FALSE,FALSE,match299,Roque Mesa
goal773,80,FALSE,FALSE,match299,Pablo Sarabia
goal774,17,FALSE,FALSE,match300,Juan Miguel Jiménez
goal775,83,FALSE,FALSE,match300,Mikel Oyarzabal
goal776,56,FALSE,FALSE,match300,Sergio Canales
goal777,85,FALSE,FALSE,match301,Luis Suárez
goal778,86,FALSE,FALSE,match301,Lionel Messi
goal779,80,TRUE,FALSE,match302,Cristhian Stuani
goal780,59,FALSE,FALSE,match302,Sergi Darder
goal781,89,FALSE,TRUE,match302,Yassine Bounou
goal782,59,FALSE,FALSE,match303,Karim Benzema
goal783,81,FALSE,FALSE,match303,Karim Benzema
goal784,39,FALSE,FALSE,match303,Marc Cardona
goal785,32,FALSE,FALSE,match304,Raúl de Tomás
goal786,91,FALSE,FALSE,match304,Mario Suárez
goal787,18,TRUE,FALSE,match305,Jonathan Calleri
goal788,93,FALSE,FALSE,match305,Jonathan Silva
goal789,11,FALSE,FALSE,match306,Giovani Lo Celso
goal790,63,FALSE,FALSE,match306,Giovani Lo Celso
goal791,13,FALSE,FALSE,match306,Ramiro Funes Mori
goal792,51,TRUE,FALSE,match307,Iago Aspas
goal793,70,FALSE,FALSE,match307,Iago Aspas
goal794,91,FALSE,FALSE,match307,Maxi Gómez
goal795,32,TRUE,FALSE,match307,Willian José
goal796,78,FALSE,FALSE,match308,Ángel Rodríguez
goal797,19,FALSE,FALSE,match309,Roger Martí
